,Topics,Alpha,Beta,Chunks,Coherence
170,4,symmetric,0.7499999999999999,20.0,
171,4,symmetric,0.7499999999999999,40.0,0.34191349304217994
172,4,symmetric,0.7499999999999999,60.0,
173,4,symmetric,0.7499999999999999,80.0,
174,4,symmetric,0.7499999999999999,100.0,
175,4,symmetric,symmetric,20.0,
176,4,symmetric,symmetric,40.0,
177,4,symmetric,symmetric,60.0,
178,4,symmetric,symmetric,80.0,
179,4,symmetric,symmetric,100.0,
180,4,asymmetric,0.15,20.0,
181,4,asymmetric,0.15,40.0,
182,4,asymmetric,0.15,60.0,
183,4,asymmetric,0.15,80.0,
184,4,asymmetric,0.15,100.0,
185,4,asymmetric,0.44999999999999996,20.0,
186,4,asymmetric,0.44999999999999996,40.0,
187,4,asymmetric,0.44999999999999996,60.0,
188,4,asymmetric,0.44999999999999996,80.0,
189,4,asymmetric,0.44999999999999996,100.0,
190,4,asymmetric,0.7499999999999999,20.0,
191,4,asymmetric,0.7499999999999999,40.0,0.3402195598072459
192,4,asymmetric,0.7499999999999999,60.0,
193,4,asymmetric,0.7499999999999999,80.0,
194,4,asymmetric,0.7499999999999999,100.0,
195,4,asymmetric,symmetric,20.0,
196,4,asymmetric,symmetric,40.0,
197,4,asymmetric,symmetric,60.0,
198,4,asymmetric,symmetric,80.0,
199,4,asymmetric,symmetric,100.0,
200,5,0.15,0.15,20.0,
201,5,0.15,0.15,40.0,
202,5,0.15,0.15,60.0,
203,5,0.15,0.15,80.0,
204,5,0.15,0.15,100.0,
205,5,0.15,0.44999999999999996,20.0,
206,5,0.15,0.44999999999999996,40.0,
207,5,0.15,0.44999999999999996,60.0,0.4472517572733891
208,5,0.15,0.44999999999999996,80.0,
209,5,0.15,0.44999999999999996,100.0,
210,5,0.15,0.7499999999999999,20.0,
211,5,0.15,0.7499999999999999,40.0,
212,5,0.15,0.7499999999999999,60.0,0.48475196876666365
213,5,0.15,0.7499999999999999,80.0,0.44359923922131017
214,5,0.15,0.7499999999999999,100.0,
215,5,0.15,symmetric,20.0,
216,5,0.15,symmetric,40.0,
217,5,0.15,symmetric,60.0,
218,5,0.15,symmetric,80.0,
219,5,0.15,symmetric,100.0,
220,5,0.44999999999999996,0.15,20.0,
221,5,0.44999999999999996,0.15,40.0,
222,5,0.44999999999999996,0.15,60.0,0.3674392625866834
223,5,0.44999999999999996,0.15,80.0,
224,5,0.44999999999999996,0.15,100.0,
225,5,0.44999999999999996,0.44999999999999996,20.0,
226,5,0.44999999999999996,0.44999999999999996,40.0,
227,5,0.44999999999999996,0.44999999999999996,60.0,0.42512011408370415
228,5,0.44999999999999996,0.44999999999999996,80.0,
229,5,0.44999999999999996,0.44999999999999996,100.0,
230,5,0.44999999999999996,0.7499999999999999,20.0,0.4841684490106827
231,5,0.44999999999999996,0.7499999999999999,40.0,
232,5,0.44999999999999996,0.7499999999999999,60.0,0.44725137749304456
233,5,0.44999999999999996,0.7499999999999999,80.0,0.455418844845747
234,5,0.44999999999999996,0.7499999999999999,100.0,
235,5,0.44999999999999996,symmetric,20.0,
236,5,0.44999999999999996,symmetric,40.0,
237,5,0.44999999999999996,symmetric,60.0,
238,5,0.44999999999999996,symmetric,80.0,
239,5,0.44999999999999996,symmetric,100.0,
240,5,0.7499999999999999,0.15,20.0,
241,5,0.7499999999999999,0.15,40.0,0.3560344485061083
242,5,0.7499999999999999,0.15,60.0,
243,5,0.7499999999999999,0.15,80.0,
244,5,0.7499999999999999,0.15,100.0,
245,5,0.7499999999999999,0.44999999999999996,20.0,
246,5,0.7499999999999999,0.44999999999999996,40.0,
247,5,0.7499999999999999,0.44999999999999996,60.0,0.36255556424556507
248,5,0.7499999999999999,0.44999999999999996,80.0,
249,5,0.7499999999999999,0.44999999999999996,100.0,
250,5,0.7499999999999999,0.7499999999999999,20.0,
251,5,0.7499999999999999,0.7499999999999999,40.0,0.4095757542703865
252,5,0.7499999999999999,0.7499999999999999,60.0,0.4412745010940474
253,5,0.7499999999999999,0.7499999999999999,80.0,
254,5,0.7499999999999999,0.7499999999999999,100.0,
255,5,0.7499999999999999,symmetric,20.0,
256,5,0.7499999999999999,symmetric,40.0,
257,5,0.7499999999999999,symmetric,60.0,
258,5,0.7499999999999999,symmetric,80.0,
259,5,0.7499999999999999,symmetric,100.0,
260,5,symmetric,0.15,20.0,
261,5,symmetric,0.15,40.0,
262,5,symmetric,0.15,60.0,
263,5,symmetric,0.15,80.0,
264,5,symmetric,0.15,100.0,
265,5,symmetric,0.44999999999999996,20.0,
266,5,symmetric,0.44999999999999996,40.0,
267,5,symmetric,0.44999999999999996,60.0,0.4406149497365585
268,5,symmetric,0.44999999999999996,80.0,
269,5,symmetric,0.44999999999999996,100.0,
270,5,symmetric,0.7499999999999999,20.0,
271,5,symmetric,0.7499999999999999,40.0,
272,5,symmetric,0.7499999999999999,60.0,0.48501408567702003
273,5,symmetric,0.7499999999999999,80.0,0.4354732390174343
274,5,symmetric,0.7499999999999999,100.0,
275,5,symmetric,symmetric,20.0,
276,5,symmetric,symmetric,40.0,
277,5,symmetric,symmetric,60.0,
278,5,symmetric,symmetric,80.0,
279,5,symmetric,symmetric,100.0,
280,5,asymmetric,0.15,20.0,
281,5,asymmetric,0.15,40.0,
282,5,asymmetric,0.15,60.0,
283,5,asymmetric,0.15,80.0,
284,5,asymmetric,0.15,100.0,
285,5,asymmetric,0.44999999999999996,20.0,
286,5,asymmetric,0.44999999999999996,40.0,
287,5,asymmetric,0.44999999999999996,60.0,0.46004732155240546
288,5,asymmetric,0.44999999999999996,80.0,0.4096375988146498
289,5,asymmetric,0.44999999999999996,100.0,
290,5,asymmetric,0.7499999999999999,20.0,
291,5,asymmetric,0.7499999999999999,40.0,0.38796273287955885
292,5,asymmetric,0.7499999999999999,60.0,
293,5,asymmetric,0.7499999999999999,80.0,
294,5,asymmetric,0.7499999999999999,100.0,
295,5,asymmetric,symmetric,20.0,
296,5,asymmetric,symmetric,40.0,
297,5,asymmetric,symmetric,60.0,0.36832806917698685
298,5,asymmetric,symmetric,80.0,
299,5,asymmetric,symmetric,100.0,
300,6,0.15,0.15,20.0,
301,6,0.15,0.15,40.0,
302,6,0.15,0.15,60.0,
303,6,0.15,0.15,80.0,
304,6,0.15,0.15,100.0,
305,6,0.15,0.44999999999999996,20.0,
306,6,0.15,0.44999999999999996,40.0,
307,6,0.15,0.44999999999999996,60.0,
308,6,0.15,0.44999999999999996,80.0,
309,6,0.15,0.44999999999999996,100.0,
310,6,0.15,0.7499999999999999,20.0,
