Topics,Alpha,Beta,Unnamed: 0,Validation_Set,Coherence
8,0.01,0.9099999999999999,318,4,0.5161809090671668
8,0.01,symmetric,319,4,0.3917488462014358
8,0.31,0.01,320,4,0.351660624226679
8,0.31,0.31,321,4,0.4734315081204061
8,0.31,0.61,322,4,0.4219282307217002
8,0.31,0.9099999999999999,323,4,0.4117747991442094
8,0.31,symmetric,324,4,0.3364139148088178
8,0.61,0.01,325,4,0.3410482772369021
8,0.61,0.31,326,4,0.4355458045471566
8,0.61,0.61,327,4,0.4189638003478658
8,0.61,0.9099999999999999,328,4,0.4226199106700891
8,0.61,symmetric,329,4,0.3497834879201142
8,0.9099999999999999,0.01,330,4,0.3377298327090309
8,0.9099999999999999,0.31,331,4,0.3631458363768188
8,0.9099999999999999,0.61,332,4,0.3451629472933627
8,0.9099999999999999,0.9099999999999999,333,4,0.3694678503926318
8,0.9099999999999999,symmetric,334,4,0.3719211900806927
8,asymmetric,0.01,340,4,0.3773963736259664
8,asymmetric,0.31,341,4,0.3937327136692958
8,asymmetric,0.61,342,4,0.4771128222867421
8,asymmetric,0.9099999999999999,343,4,0.4611952335987649
8,asymmetric,symmetric,344,4,0.3728850610665117
8,symmetric,0.01,335,4,0.3553045873350623
8,symmetric,0.31,336,4,0.410384818077393
8,symmetric,0.61,337,4,0.4408183651013751
8,symmetric,0.9099999999999999,338,4,0.4735722290405372
8,symmetric,symmetric,339,4,0.3541741471892324
9,0.01,0.01,345,4,0.3513782538841574
9,0.01,0.31,346,4,0.4773448098849026
9,0.01,0.61,347,4,0.4159275651437764
9,0.01,0.9099999999999999,348,4,0.4820144789454132
9,0.01,symmetric,349,4,0.4433378715629921
9,0.31,0.01,350,4,0.3467542913195893
9,0.31,0.31,351,4,0.4752788326576821
9,0.31,0.61,352,4,0.4328552556970432
9,0.31,0.9099999999999999,353,4,0.5226437003811513
9,0.31,symmetric,354,4,0.4003381748297532
9,0.61,0.01,355,4,0.3463993965727654
9,0.61,0.31,356,4,0.4340252214665086
9,0.61,0.61,357,4,0.4270157780579037
9,0.61,0.9099999999999999,358,4,0.4412950511890539
9,0.61,symmetric,359,4,0.3624167775850688
9,0.9099999999999999,0.01,360,4,0.3375571101863531
9,0.9099999999999999,0.31,361,4,0.3978315736867642
9,0.9099999999999999,0.61,362,4,0.4220422519801813
9,0.9099999999999999,0.9099999999999999,363,4,0.4471998371683205
9,0.9099999999999999,symmetric,364,4,0.3749476711086694
9,asymmetric,0.01,370,4,0.343374315392158
9,asymmetric,0.31,371,4,0.4448439347943354
9,asymmetric,0.61,372,4,0.4745690814516335
9,asymmetric,0.9099999999999999,373,4,0.5756089947617562
9,asymmetric,symmetric,374,4,0.4298773408964843
9,symmetric,0.01,365,4,0.3571413239671656
9,symmetric,0.31,366,4,0.4856981240750943
9,symmetric,0.61,367,4,0.3806416833489719
9,symmetric,0.9099999999999999,368,4,0.478895640768773
9,symmetric,symmetric,369,4,0.4355054253106968
10,0.01,0.01,375,4,0.3451842520750506
10,0.01,0.31,376,4,0.4562837279691333
10,0.01,0.61,377,4,0.4327612472945296
10,0.01,0.9099999999999999,378,4,0.4541182253160863
10,0.01,symmetric,379,4,0.435280448304701
10,0.31,0.01,380,4,0.3507790533784293
10,0.31,0.31,381,4,0.4647981666446877
10,0.31,0.61,382,4,0.4020466038485281
10,0.31,0.9099999999999999,383,4,0.4787004079550768
10,0.31,symmetric,384,4,0.4141738764887638
10,0.61,0.01,385,4,0.3345180551240123
10,0.61,0.31,386,4,0.4586648705120721
10,0.61,0.61,387,4,0.441483393326014
10,0.61,0.9099999999999999,388,4,0.3579883003018902
10,0.61,symmetric,389,4,0.3739453960713684
10,0.9099999999999999,0.01,390,4,0.3442659503146756
10,0.9099999999999999,0.31,391,4,0.4006972651632544
10,0.9099999999999999,0.61,392,4,0.414665541380878
10,0.9099999999999999,0.9099999999999999,393,4,0.4498128777455308
